Key	EN	RU	DE	FR	IT	PT	ES	JA	ID	MS	AR	SV	NL	PL
boy.page.33	“Well, suit yourself.” The beavers cautioned him before they left,\n“Remember, we warned you.”	«Ну смотри, ‒ пожурили его бобры,\nпрежде, чем уйти. ‒ Мы тебя предупреждали».	„Nun, wie du meinst.“ Bevor die Biber gingen,\nermahnten sie ihn: „Vergiss nicht, wir haben dich gewarnt.“	« Fais comme tu veux, dirent les castors avant de s’en aller.\nMais souviens-toi que nous t’avons prévenu. »	«Beh, arrangiati allora», i castori lo avvertirono prima di andarsene.\n«Ma ricorda che ti avevamo avvisato».	“Bem, fique à vontade.” Mas os castores deixaram claro\nantes de ir embora: “lembre-se de que a gente te avisou.”	“Bueno, como quieras”. “Recuerda que te lo advertimos”,\nle reconvinieron los castores cuando se alejaban.	「じゃあ⁠好き⁠に​すれ⁠ば​いい⁠さ」​そして、​ビーバー⁠たち⁠は\n出⁠て​行く​前⁠に、​言い⁠まし⁠た。​「注意​し⁠た​こと⁠を​忘れ⁠ない⁠で」	“Baiklah, terserah kau saja.” Para biwara itu memperingatkan\ndia sebelum pergi, “Ingat, kami sudah memperingatkanmu.”	“Baiklah, ikut suka kamulah.” Memerang itu mengingatkannya\nsebelum mereka pergi, “Ingat, kami sudah memberi kamu amaran.”	أنذره القنادس قبل مغادرتهم: ”حسنًا، كما تشاء. ولكن تذكّر أننا حذّرناك“.	”Nåväl, skyll dig själv. Kom ihåg, vi varnade dig,” sa bävrarna innan de gick.	“Oké, wat jij wilt.” De bevers vertrekken, maar niet voor ze zeggen:\n“Vergeet niet dat we je gewaarschuwd hebben.”	– Jak chcesz – odparli. – Pamiętaj, ostrzegliśmy cię.
boy.page.34	{NAME:P1} got tired of his neighbors who came in and out\nevery other minute and decided to go home and have a nap.	{NAME:P4} утомили гости, что ходили к нему без конца,\nи он решил пойти в дом и немного вздремнуть.	{NAME:P1} hatte genug von seinen Nachbarn, die jede Minute\nein- und ausgingen, und entschied, zu Hause ein Nickerchen zu machen.	{NAME:P1} en avait marre de ses voisins\nqui l’embêtaient jour et nuit, et décida d’aller faire une sieste.	{NAME:P1} era stanco dei vicini che arrivavano in continuazione\ne decise di andare a casa a fare un sonnellino.	{NAME:P1} ficou cansado dos seus vizinhos, que vinham\ne voltavam toda hora, e decidiu voltar para casa e tirar uma soneca.	{NAME:P1} se cansó de sus vecinos yendo\ny viniendo permanentemente, y decidió ir a casa a tomar una siesta.	{NAME:P1}​は、​次⁠から​次に⁠やってくる​近所⁠の​動物⁠たち⁠に\nうんざり⁠し、​家⁠に​帰っ⁠て​昼寝​する​こと⁠に​し⁠まし⁠た。	{NAME:P1} merasa bosan dengan para tetangganya\nyang datang silih berganti, lalu dia memutuskan untuk pulang dan tidur siang.	{NAME:P1} berasa lesu dengan kerenah jirannya yang masuk keluar\nsetiap masa dan memutuskan untuk pulang ke rumah dan tidur sekejap.	سئم {NAME:P1} من جيرانه الذين كلّما خرج أحدهم\nيدخل الآخر، فقرّر دخول المنزل وأخذ قيلولة.	{NAME:P1} tröttnade på att hans grannar gick in och ut varannan minut\noch bestämde sig för att gå hem och ta en tupplur.	{NAME:P1} is moe door al het gezeur van zijn buren\nen besluit om een middagdutje te gaan doen.	{NAME:P1} zmęczył się wizytami sąsiadów,\nktórzy przychodzili co chwila, i postanowił wrócić do domu na drzemkę.
boy.page.35	Tired, he crawled into his bed and quickly fell asleep.	Очень уставший, он забрался в свою кроватку и быстро заснул.	Müde kroch er in sein Bett und schlief sofort ein.	Fatigué, il se glissa dans son lit et s’endormit tout de suite.	Stanco, si mise a letto e si addormentò subito.	Cansado, ele deitou na cama e pegou no sono na mesma hora.	Cansado, se metió en su cama y se durmió de inmediato.	{NAME:P1}​は​ベッド⁠に​もぐりこむ⁠と、\n疲れ⁠て​い⁠た⁠ので、​すぐ⁠に​眠っ⁠て​しまい⁠まし⁠た。	Karena kelelahan, dia merangkak masuk\nke tempat tidur dan langsung tertidur.	Dengan keletihan, dia merangkak ke katil dan tertidur dengan cepat.	تثاقل إلى سريره متعبًا وسرعان ما غطّ بالنوم.	Trött kröp han ner i sin säng och somnade.	Slaperig kruipt hij in bed en vertrekt naar dromenland.	Zmęczony wsunął się do łóżka i szybko zasnął.
boy.page.36	As soon as he was asleep, heavy rain fell,\nand a thunderstorm started outside the window.	А за окном пошёл сильный ливень и началась гроза.	Als er eingeschlafen war, fing es draußen\nvor dem Fenster heftig zu regnen und zu gewittern an.	Aussitôt, une pluie torrentielle se mit à tomber\net le tonnerre gronda derrière sa fenêtre.	Appena si addormentò, cominciò a piovere a dirotto e a tuonare.	Assim que ele adormeceu, começou uma chuva forte\ne uma tempestade do lado de fora da janela.	Tan pronto como se durmiera,\ntruenos y una fuerte lluvia se precipitaron fuera de su ventana.	{NAME:P1}​が​眠っ⁠た​とたん、​窓⁠の​外⁠で⁠は\nはげしい​雨⁠と​雷⁠が​鳴り​はじめ⁠まし⁠た。	Begitu dia tertidur, hujan deras pun turun,\ndan guntur bersahutan di luar jendela.	Sebaik sahaja dia tertidur, hujan yang lebat pun turun\ndan ribut petir bermula di luar tingkap.	فإذا نامَ هطلَ مطرٌ غزيرٌ وهبّت عاصفة رعديّة في الخارج.	Så fort han hade somnat började tunga regndroppar falla\noch ett åskoväder började utanför fönstret.	Terwijl hij slaapt begint het hard te regenen en het onweert ook.	Ledwie zasnął, lunął ulewny deszcz i rozpętała się burza.
boy.page.37	It even shook {NAME:P1} out of sleep.\nHe peeled himself from bed and…	От звуков грома {NAME:P1} аж проснулся. Он встал с кровати и…	Es schüttelte {NAME:P1} sogar aus dem Schlaf.\nEr schälte sich aus dem Bett und…	Le bruit secoua le lit de {NAME:P1} et il se réveilla. Il sortit du lit et…	Il temporale era così forte che svegliò {NAME:P1}. Scese dal letto e…	O temporal estava tão forte, que até acordou o {NAME:P1}.\nEle se levantou da cama e…	La tormenta sacudió a {NAME:P1} de su sueño.\nSe levantó de su cama y…	{NAME:P1}​は​眠り⁠から​覚め⁠まし⁠た。\n{NAME:P1}​が​ベッド⁠から​起き上がる⁠と…	Hujan petir itu membuat {NAME:P1} terbangun dari tidurnya.\nDia terangkat dari tempat tidur dan…	Sehingga bunyinya mengejutkan {NAME:P1}\ndaripada tidur. Dia bangkit dari katil dan…	أرعدَت السّماء موقظةً {NAME:P1}، الذي نزع جسمه عن السرير بتكاسل و…	Det väckte till och med {NAME:P1}. Han tog sig ur sängen och…	{NAME:P1} schrikt wakker van het slechte weer. Hij springt uit bed en…	Hałas wyrwał {NAME:P4} ze snu. Podniósł się z łóżka i…
boy.page.38	Stepped into water! The floor of his house was filling up with water,\nwhich rose higher and higher every minute!	Наступил в воду… Пол его дома был залит водой!\nИ воды становилось всё больше с каждой минутой!	Seine Füße wurden nass! Der Boden seines Hauses füllte\nsich mit Wasser, und es wurde jede Minute höher.	Marcha dans l’eau ! Le plancher de sa maison était sous l’eau,\net elle montait à chaque minute qui passait.	Mise i piedi in acqua! Il pavimento di casa\nera pieno d’acqua, e il livello saliva e saliva!	Ao colocar os pés no chão, era só água! Sua casa estava sendo inundada,\ne a água não parava de subir a cada minuto!	¡Caminó en el agua! ¡El suelo de su casa\nestaba cubierto de agua, que subía más y más!	{NAME:P1}​の​足⁠は​水⁠の​中⁠に​入り⁠まし⁠た⁠！\n家⁠の​床⁠は​水⁠で​いっぱい⁠に​なっ⁠て​い⁠まし⁠た⁠！	Tercebur ke air! Lantai rumahnya dibanjiri air,\nyang terus naik dari menit ke menit!	Melangkah ke dalam air! Lantai rumahnya telah dipenuhi air,\nyang naik lebih tinggi dan lebih tinggi lagi setiap minit!	نزل قدماه في الماء! كانت أرضية المنزل تفيض والماء يعلو أكثر فأكثر!	Klev rakt ner i vatten! Golvet i hans hus fylldes\nmed vatten som steg högre och högre för varje minut!	Stapt in het water! De vloer van zijn huis is helemaal nat en het water stijgt snel!	Wdepnął w wodę! Podłoga jego domu zalewała się wodą,\nktóra z każdą minutą podnosiła się coraz wyżej!
boy.page.39	“Help!” the raccoon screamed, dashing out of the house. His swimming\npool’s banks burst because of the rain and it was now flooding the house.	«Помогите!» ‒ Закричал енот, выскакивая из дома. Его бассейн из-за\nсильнейшего дождя вышел из берегов и теперь затапливал дом.	„Hilfe!“, schrie der Waschbär und rannte aus dem Haus. Das Schwimmbecken\nlief wegen des Regens über, und das Wasser überflutete das Haus.	« À l’aide ! » cria le raton laveur en courant dehors.\nSa piscine s’était effondrée sous le poids de l’eau et elle inondait sa maison.	«Aiuto!», gridò il procione uscendo di corsa.\nLa pioggia aveva fatto straripare la piscina e ora la casa era allagata.	“Socorro!”, gritou o guaxinim, saindo correndo de casa. A piscina dele tinha\ntransbordado por causa da chuva e, agora, estava inundando a casa.	“¡Socorro!” gritaba el mapache, mientras salía corriendo de su casa.\nLa piscina se había desbordado con la lluvia, y ahora inundaba la casa.	「助け⁠て⁠！」​{NAME:P1}​は、​急い⁠で​家⁠の​外⁠に​出⁠て​叫び⁠まし⁠た。\n雨⁠で​プール⁠が​こわれ⁠て、​家⁠の​中⁠が​水⁠で​いっぱい⁠に​なっ⁠て​い⁠た​の⁠です。	“Tolong!” si rakun berteriak, lari keluar dari rumah.\nTepi kolam renangnya jebol karena hujan dan sekarang membanjiri rumahnya.	“Tolong!” si rakun menjerit, meluru keluar dari rumah.\nTebing kolam renangnya pecah kerana hujan dan kini air membanjiri rumah.	صاح الراكون وهو يندفع خارج المنزل: ”أنقذوني!“ انفجرت جدران\nمسبحه بفعل المطر وأصبح الماء يفيض الآن بمنزله.	”Hjälp!” ropade tvättbjörnen och rusade ut ur huset. Kanterna på poolen\nhade kollapsat på grund av regnet och vattnet flödade nu in i huset.	“Help!” schreeuwt de wasbeer, terwijl hij naar buiten rent. Het zwembad\nis helemaal overstroomd door de regen en nu loopt het water zijn huis in.	– Pomocy! – krzyknął szop, wybiegając z domu.\nBrzegi jego basenu pękły od deszczu i woda zalała dom.
boy.page.40	His cries brought his neighbors running: the porcupine, the beavers,\nand the rabbit with her whole family came running in.	На крики енота прибежали и дикобраз, и зайчиха с семейством, и бобры.	Seine Schreie schreckten die Nachbarn auf: das Stachelschwein,\ndie Biber und die Häsin mit ihrer ganzen Familie kamen angelaufen.	Ses cris alertèrent ses voisins : le porc-épic, les castors,\nla lapine et toute sa famille se précipitèrent vers lui.	Le urla fecero allarmare i vicini: il porcospino, i castori,\ne la lepre con tutta la famiglia arrivarono correndo.	Ao ouvir seu pedido de socorro, seus vizinhos vieram correndo:\no porco-espinho, os castores e a coelha, junto com toda a sua família.	Sus lamentos hicieron que sus vecinos acudieran corriendo:\nel puercoespín, los castores y la liebre con toda su familia.	{NAME:P1}​の​叫び声⁠を​聞い⁠て、​ヤマアラシ⁠や​ビーバー、\nウサギ⁠と​その⁠家族⁠が​走っ⁠て​き⁠まし⁠た。	Tangisannya membuat para tetangga berlarian: landak, biwara,\ndan kelinci dengan seluruh keluarganya berlari menghampiri rakun.	Jeritannya membuatkan jiran-jiran berlarian:\nlandak, memerang dan arnab sekeluarga berlari mendapatkannya.	هرع الجيران تلبيةً لاستغاثته. جاء القنادس\nبصحبة القنفذ والأرنب وأفراد عائلته جميعًا.	Hans rop fick hans grannar att komma springandes:\npiggsvinet, bävrarna och kaninen med hela sin familj skyndade sig dit.	Zijn buren komen op het geschreeuw af:\nhet stekelvarken, de bevers en moeder konijn met haar hele familie.	Na jego krzyk przybiegli sąsiedzi: jeżozwierz, bobry i króliczka z całą rodziną.
boy.page.41	“We told you,” the beavers shook their heads. But despite how he had acted,\nthey couldn’t leave {NAME:P1} alone in dire straits.	«Мы же тебе говорили», ‒ покачали головами бобры.\nНо делать нечего ‒ не бросать же {NAME:P4} в беде.	„Wir haben es dir gesagt“, die Biber schüttelten ihre Köpfe. Aber trotz\nseines Verhaltens konnten sie {NAME:P1} nicht im Stich lassen.	« Nous t’avons prévenu » dirent les castors. Mais malgré son comportement,\nils ne pouvaient pas laisser {NAME:P1} dans un tel état.	«Te l’avevamo detto», dissero i castori scuotendo la testa. Ma anche se\nsi era comportato male, non potevano lasciare {NAME:P1} nei guai.	“A gente avisou”, disseram os castores. Mas mesmo depois do que ele\ntinha feito, eles não podiam deixar o {NAME:P1} naquela situação.	“Te lo dijimos”, meneaban la cabeza los castores. Pero a pesar\nde su comportamiento, no podían abandonarlo en esa situación desesperada.	「言っ⁠た⁠よ⁠ね」​ビーバー⁠たち⁠は​首⁠を​横⁠に​振り⁠まし⁠た。​しかし、​ビーバー\nたち⁠は、​ひどい​こと⁠を​言っ⁠た​{NAME:P1}​を​放っ⁠て​おけ⁠ませ⁠ん⁠でし⁠た。	“Sudah kami ingatkan,” para biwara geleng-geleng kepala.\nTerlepas dari ulahnya, mereka tak bisa meninggalkan {NAME:P1} dalam kesulitan.	“Kami sudah cakap,” memerang menggeleng-geleng. Namun di sebalik\nsikapnya, mereka tidak sanggup meninggalkan {NAME:P1} dalam kesempitan.	هزّ القنادس رؤوسهم وقالوا: ”لقد حذرناك“. ولكن رغم تصرّفات\n{NAME:P1} اتّجاههم، لم يحتملوا تركه وحيدًا في هذا المأزق المريع.	”Vad var det vi sa,” sa bävrarna och skakade på huvudena.\nMen oavsett hur han hade betett sig kunde de inte överge {NAME:P1}.	“We zeiden het toch,” zeggen de bevers hoofdschuddend.\nMaar ondanks zijn gedrag besluiten ze {NAME:P1} niet in de steek te laten.	– A nie mówiliśmy – pokręcili głowami bobry.\nMimo tego, jak się zachowywał, nie mogli zostawić {NAME:P2} w potrzebie.
boy.page.42	The beavers promptly gave everyone instructions and the animals dug\na new ditch that led the water away from the raccoon’s house.	Бобры быстро раздали всем указания, и звери общими усилиями выкопали\nдругой ров, уводящий воду от дома енота. Потоп удалось остановить.	Die Biber gaben allen Anweisungen, und die Tiere gruben einen\nneuen Graben, der das Wasser vom Haus des Waschbärs wegführte.	Les castors mirent un plan en route, et tous les animaux creusèrent\nune nouvelle tranchée pour éloigner l’eau de la maison du raton laveur.	I castori diedero subito istruzioni a tutti\ne costruirono un nuovo fossato che condusse l’acqua fuori dalla casa.	Os castores deram instruções para todo mundo e os animais cavaram\numa nova valeta para escoar a água da casa do guaxinim.	Los castores dieron instrucciones rápidamente y los animales cavaron\nuna zanja para que el agua drenara de la casa del mapache.	ビーバー⁠たち⁠は​すぐ⁠に​みんな⁠に​指示⁠を​出し、​動物⁠たち⁠は\n{NAME:P1}​の​家⁠から​水⁠を​流し​出す​ため⁠に​新しい​みぞ⁠を​掘り⁠まし⁠た。	Para biwara itu memberikan perintah pada semuanya dan para hewan\nitu menggali parit baru yang menjauhkan air dari rumah si rakun.	Memerang memberikan arahan kepada semua orang dengan segera dan\nhaiwan-haiwan itu menggali parit baharu yang membawa air jauh dari rumah rakun.	أعطى القنادس تعليماتٍ سريعةٍ فبدأ جميع الحيوانات\nبحفر خندق جديد يوجّه الماء بعيدًا عن منزل الراكون.	Bävrarna gav genast ut instruktioner och djuren grävde ett\nnytt dike som ledde bort vattnet från tvättbjörnens hus.	De bevers vertellen iedereen hoe ze kunnen helpen.\nSamen graven ze een nieuwe geul, waardoor het water weg kan stromen.	Bobry szybko wydały wszystkim wskazówki,\na zwierzęta wykopały nowy rów, który odprowadził wodę od domu szopa.
boy.page.43	Dripping wet, {NAME:P1} looked at the other wet animals that came\nto help him in his hour of need, and he was struck with shame…	Мокрый насквозь, {NAME:P1} посмотрел на таких же мокрых зверей,\nкоторые пришли ему на помощь в трудную минуту, и ему стало так стыдно…	Klitschnass betrachtete {NAME:P1} die anderen durchnässten Tiere,\ndie ihm in der Not geholfen hatten, und Schamgefühl überkam ihn.	Complètement trempé, {NAME:P1} regarda les autres animaux\nqui l’avaient aidé à se sortir du pétrin, et il eut terriblement honte…	Inzuppato, {NAME:P1} vide che tutti gli animali\nlo stavano aiutando nel momento del bisogno, e si vergognò…	Todo molhado, {NAME:P1} olhou para os outros animais encharcados\nque vieram ajudá-lo quando ele precisava e sentiu uma baita vergonha…	Chorreando agua, {NAME:P1} miraba a los empapados animales\nque vinieron a ayudarle cuando lo necesitó, y lo invadió la vergüenza…	ずぶ​ぬれ⁠の​{NAME:P1}​は、​困っ⁠て​いる​とき⁠に​助け⁠に​来⁠て​くれ⁠た​動物⁠たち⁠も\nビショビショ⁠に​なっ⁠て​いる​の⁠を​見⁠て、​とても⁠恥ずかしく​なり⁠まし⁠た…	Dengan tubuh basah kuyup, {NAME:P1} menatap ke para hewan lainnya\nyang juga basah yang menolongnya saat dibutuhkan, dan dia merasa malu…	Kebasahan, {NAME:P1} memandang haiwan-haiwan lain yang juga basah\nyang datang membantunya ketika memerlukan, dan dia ditimpa rasa malu…	كان {NAME:P1} مبتلّاً بالكامل. نظر إلى جيرانه الذين أتوا لمساعدته\nوقتَ الضيق فكانوا مبتلّين أيضًا، مما جعله يشعر بخجل شديد…	Drypande våt tittade {NAME:P1} på de andra djuren som kom\noch hjälpte honom när han var i nöd, och han översköljdes av skamkänslor…	Helemaal doorweekt kijkt {NAME:P1} naar de andere natte dieren,\ndie hem hebben geholpen. Hij schaamt zich enorm.	Ociekający wodą {NAME:P1} spojrzał na mokre zwierzęta,\nktóre przyszły mu z pomocą, i ogarnął go wstyd…
boy.page.44	{NAME:P1} began to sob. “Please, forgive me. I was being so selfish!”	{NAME:P1} захлюпал носом.\n«Простите меня. Я был таким эгоистом!»	{NAME:P1} begann zu schluchzen.\n„Bitte vergebt mir. Ich war so egoistisch!“	{NAME:P1} se mit à pleurer.\n« Pitié, pardonnez-moi. J’ai été tellement égoïste ! »	{NAME:P1} si mise a piangere.\n«Per piacere, perdonatemi. Sono stato così egoista!»	{NAME:P1} começou a soluçar. “Por favor, me desculpem.\nEu estava sendo egoísta demais!”	{NAME:P1} comenzó a sollozar.\n“Por favor, perdónenme. ¡He sido muy egoísta!”	{NAME:P1}​は​しくしく⁠と​泣き​はじめ⁠まし⁠た。\n「お願い、​許し⁠て。​すごく​わがまま⁠だっ⁠た⁠よ⁠！」	{NAME:P1} mulai menangis.\n“Tolong, maafkan aku. Waktu itu aku sangat egois!”	{NAME:P1} mula teresak. “Tolonglah, maafkan saya.\nSaya amat pentingkan diri!”	انفجر {NAME:P1} باكيًا: ”أرجوكم، سامحوني. كم كنتُ أنانيّا!“	{NAME:P1} började snyfta. ”Snälla, förlåt mig. Jag var så självisk!”	{NAME:P1} begint te huilen. “Het spijt me,\nik was heel egoïstisch. Kunnen jullie me vergeven?”	{NAME:P1} się rozpłakał. – Proszę, wybaczcie mi. Byłem taki samolubny!
boy.page.45	“Let me treat you to some hot tea so you don’t catch a cold,” said the raccoon.	«Давайте я вас всех чаем горячим напою, чтобы вы не заболели».	„Ich hole dir einen heißen Tee, dann fängst\ndu dir keine Erkältung ein“, sagte die Waschbärin.	« Je vais faire du thé chaud pour nous réchauffer » dit le raton laveur.	«Lasciate che vi faccia un tè,\ncosì non vi prendete un raffredore», disse il procione.	“Vou te dar um chá quente para que você\nnão pegue um resfriado”, disse o guaxinim.	“Déjenme invitarles con un té caliente, así no se resfrían”, dijo el mapache.	「風邪⁠を​ひか⁠ない​よう⁠に、​温かい​お茶⁠を​ごちそう​する⁠よ」\n{NAME:P1}​が​言い⁠まし⁠た。	“Nanti aku sediakan teh panas untukmu\nagar kamu tidak masuk angin,” ujar si rakun.	“Mari saya sediakan untuk kalian sedikit teh panas\nsupaya tidak terkena selesema,” kata rakun.	أكمل الراكون: ”اسمحوا لي بدعوتكم لشرب الشاي الساخن كيلا يصيبكم البرد“.	”Låt mig bjuda er på lite varmt te så ni inte blir förkylda,” sa tvättbjörnen.	“Ik zal warme thee maken, zodat jullie\nniet verkouden worden,” zegt de wasbeer.	– Pozwólcie, że poczęstuję was gorącą herbatą,\nżebyście nie zmarzli – powiedział szop.
boy.page.46	The animals forgave {NAME:P1} and spent the rest of the day\nenjoying tea with many delicious snacks.	Зверята простили {NAME:P4} и хорошо провели\nостаток дня за чаем с разными вкусностями.	Die Tiere vergaben {NAME:P1} und genossen den Rest\ndes Tages gemeinsam den Tee und verschiedene Köstlichkeiten.	Les animaux pardonnèrent à {NAME:P1} et ils passèrent\nle reste de la journée à boire du thé et à manger des mets savoureux.	Gli animali perdonarono {NAME:P1}\ne passarono il resto del giorno a bere il tè con vari dolcetti.	Os animais perdoaram o {NAME:P1} e, juntos, eles passaram\no resto do dia tomando chá e aproveitando várias comidinhas gostosas.	Los animales perdonaron a {NAME:P1} y pasaron\nel resto del día disfrutando de un té acompañado de varias exquisiteces.	動物⁠たち⁠は​{NAME:P1}​を​許し⁠て、​その⁠日​一⁠日、\nいろいろ⁠な​ごちそう⁠と​お茶⁠を​楽しみ⁠まし⁠た。	Para hewan itu pun memaafkan {NAME:P1}\ndan bersama-sama menikmati teh dengan banyak kudapan yang enak.	Haiwan-haiwan itu memaafkan {NAME:P1} dan menghabiskan hari\nyang masih berbaki menikmati teh dengan banyak kudapan enak.	سامحَ الجيران {NAME:P1} وأمضوا بقية اليوم يشربون\nالشاي ويتناولون مختلف ألوان الكعك الشهيّة معه.	Djuren förlät {NAME:P1} och tillbringade resten\nav dagen med att dricka te och äta massor av godsaker.	De dieren vergeven {NAME:P1}\nen genieten met zijn allen van thee en een heleboel lekkernijen.	Zwierzęta wybaczyły {NAME:P3}\ni spędziły resztę dnia przy herbacie i wielu pysznych przekąskach.
girl.description	One hot and sunny summer day, a raccoon decided on a great way to stay cool. But why didn’t the other animals appreciate the idea? How could this good idea lead to trouble? Let’s find out from this story.	Одним очень жарким летом енот придумал, как обхитрить погоду и наслаждаться прохладой. Но почему лесные жители оказались не рады этой затее, и почему это всё могло обернуться бедой – узнайте в этой истории! 	An einem heißen Sommertag hatte ein Waschbär eine tolle Idee, um sich abzukühlen. Aber warum mochten die anderen Tiere die Idee nicht? Wie konnte diese gute Idee so viel Ärger verursachen? Finden wir es heraus.	Un jour d’été chaud et ensoleillé, une raton laveur trouve une façon géniale de rester au frais. Mais pourquoi les autres animaux n’aiment pas son idée ? Découvrons-le avec cette histoire.	Un giorno d’estate un procione trova un modo geniale di rimanere al fresco. Ma come mai gli altri animali non apprezzano la sua idea? Com’è possibile che causi tanti problemi? Scopriamolo in questa storia.	Em um dia quente e ensolarado de verão, uma guaxinim teve uma ideia genial para se refrescar. Mas por que os outros animais não gostaram da ideia? Qual seria o problema? É o que vamos descobrir nesta história!	En un caluroso día de verano, un mapache tuvo una idea para poder refrescarse. Pero, ¿por qué a los otros animales no les gustó su idea? ¿Por qué esa buena idea generó tantos problemas? Averigüémoslo en este cuento.	晴れた暑い夏の日、アライグマは涼しく過ごす良い方法を見つけました。でも、なぜ他の動物はその方法が気に入らないの？どんな問題が起こる？物語から探してみよう。	Di hari panas dan cerahnya musim panas, seekor rakun menemukan cara tepat agar tubuh tetap dingin. Tapi kenapa hewan lain meremehkan idenya? Kenapa ide bagus ini malah bermasalah? Yuk cari tahu dari cerita ini.	Pada hari musim panas yang hangat dan cerah, rakun mencari cara hebat untuk berasa sejuk. Tetapi kenapa haiwan lain tidak suka idea ini? Bagaimana idea yang baik ini membawa masalah? Ketahui daripada kisah ini.	ذات نهارٍ صيفيّ مشمس، قرّرت الراكون تنفيذ خطةٍ عبقريةٍ للتخفيف من وطأة الحرّ. لم تُعجب خطّتها الحيوانات الأخرى، فما السبب؟ كيف تسبّبت الفكرة السديدة بالمشاكل؟ لنكتشف معًا في هذه القصة.	En varm sommardag kommer en tvättbjörn på ett bra sätt att hålla sig sval. Men varför tycker inte de andra djuren om idén? Hur kunde den leda till trubbel? Låt oss ta reda på det i den här berättelsen.	Op een hete zomerdag heeft een wasbeer een geweldig idee om koel te blijven. Maar waarom vinden de andere dieren het geen goed plan? Waarom zorgt haar goede idee voor problemen? Dat ontdek je in dit verhaal.	Pewnego słonecznego dnia szopica wpadła na pomysł, jak się ochłodzić. Ale dlaczego zwierzętom ten pomysł się nie spodobał? Jak coś tak dobrego mogło przysporzyć tylu kłopotów? Dowiedzmy się z tej historii!
girl.description.iphone	One hot and sunny summer day, a raccoon decided on a great way to stay cool. But why didn’t the other animals appreciate the idea? How could this good idea lead to trouble? Let’s find out from this story.	Одним очень жарким летом енот придумал, как обхитрить погоду и наслаждаться прохладой. Но почему лесные жители оказались не рады этой затее, и почему это всё могло обернуться бедой – узнайте в этой истории! 	An einem heißen Sommertag hatte ein Waschbär eine tolle Idee, um sich abzukühlen. Aber warum mochten die anderen Tiere die Idee nicht? Wie konnte diese gute Idee so viel Ärger verursachen? Finden wir es heraus.	Un jour d’été chaud et ensoleillé, une raton laveur trouve une façon géniale de rester au frais. Mais pourquoi les autres animaux n’aiment pas son idée ? Découvrons-le avec cette histoire.	Un giorno d’estate un procione trova un modo geniale di rimanere al fresco. Ma come mai gli altri animali non apprezzano la sua idea? Com’è possibile che causi tanti problemi? Scopriamolo in questa storia.	Em um dia quente e ensolarado de verão, uma guaxinim teve uma ideia genial para se refrescar. Mas por que os outros animais não gostaram da ideia? Qual seria o problema? É o que vamos descobrir nesta história!	En un caluroso día de verano, un mapache tuvo una idea para poder refrescarse. Pero, ¿por qué a los otros animales no les gustó su idea? ¿Por qué esa buena idea generó tantos problemas? Averigüémoslo en este cuento.	晴れた暑い夏の日、アライグマは涼しく過ごす良い方法を見つけました。でも、なぜ他の動物はその方法が気に入らないの？どんな問題が起こる？物語から探してみよう。	Di hari panas dan cerahnya musim panas, seekor rakun menemukan cara tepat agar tubuh tetap dingin. Tapi kenapa hewan lain meremehkan idenya? Kenapa ide bagus ini malah bermasalah? Yuk cari tahu dari cerita ini.	Pada hari musim panas yang hangat dan cerah, rakun mencari cara hebat untuk berasa sejuk. Tetapi kenapa haiwan lain tidak suka idea ini? Bagaimana idea yang baik ini membawa masalah? Ketahui daripada kisah ini.	ذات نهارٍ صيفيّ مشمس، قرّرت الراكون تنفيذ خطةٍ عبقريةٍ للتخفيف من وطأة الحرّ. لم تُعجب خطّتها الحيوانات الأخرى، فما السبب؟ كيف تسبّبت الفكرة السديدة بالمشاكل؟ لنكتشف معًا في هذه القصة.	En varm sommardag kommer en tvättbjörn på ett bra sätt att hålla sig sval. Men varför tycker inte de andra djuren om idén? Hur kunde den leda till trubbel? Låt oss ta reda på det i den här berättelsen.	Op een hete zomerdag heeft een wasbeer een geweldig idee om koel te blijven. Maar waarom vinden de andere dieren het geen goed plan? Waarom zorgt haar goede idee voor problemen? Dat ontdek je in dit verhaal.	Pewnego słonecznego dnia szopica wpadła na pomysł, jak się ochłodzić. Ale dlaczego zwierzętom ten pomysł się nie spodobał? Jak coś tak dobrego mogło przysporzyć tylu kłopotów? Dowiedzmy się z tej historii!
